CODINT_0;flags;Désignation;options_exist
GESBPR;{'W': 'Toutes sociétés', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Tiers;WCMS
GESBIC;{'V': 'Validation des factures', 'E': 'Echéances', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Factures tiers client;VECMS
GESBIS;{'V': 'Validation des factures', 'E': 'Echéances', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Factures tiers fournisseur;VECMS
GESFRM;{'V': 'Validation', 'F': 'Fichier banque', 'T': 'Transactions', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Saisie bordereau de remise;VFTCMS
GESPAB;{'V': 'Validation', 'F': 'Fichier banque', 'T': 'Transaction', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Saisie avis de domiciliation;VFTCMS
GESPIH;{'V': 'Validation', 'E': 'Echéances', 'U': 'Déblocage erreur rapprochement', 'I': 'Emission', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Factures;VEUICMS
GESPNH;{'V': 'Validation', 'K': 'Modification mvts de stock', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Retours d'achat;VKCMS
GESREL;{'V': 'Validation', 'J': 'Mise à jour', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Relevés;VJCMS
GESSDH;{'V': 'Validation', 'P': 'Proforma', 'F': 'Facture', 'K': 'Modif. mvts de stock/qtés', 'G': 'Colisage', 'I': 'Emission', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Livraisons;VPFKGICMS
GESSDH2;{'V': 'Validation', 'P': 'Proforma', 'F': 'Facture', 'K': 'Modification mvts de stock', 'G': 'Colisage', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Livraisons;VPFKGCMS
GESSIH;{'V': 'Validation', 'E': 'Echéances', 'R': 'Règlement', 'K': 'Modification mvts de stock', 'I': 'Emission', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Factures;VERKICMS
GESSNL;{'V': 'Validation', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Inventaire;VCMS
AREQUETE;{'U': 'Tous utilisateurs'};Gestion des requêtes;U
EXERQT;{'U': 'Tous utilisateurs'};Soumission des requêtes;U
GESABA;{'U': 'Tous utilisateurs', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des abonnements;UCMS
GESAWU;{'U': 'Tous utilisateurs', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Utilisateurs délégués;UCMS
FUNPSH;{'U': 'Tous demandeurs'};Solde des demandes achat;U
FUNPSH2;{'U': 'Tous demandeurs'};Solde des demandes achat;U
BANAFFA;{'U': 'Accès par utilisateur'};Affectation banques;U
BANAFFM;{'U': 'Accès par utilisateur'};Saisie banques;U
BPCVAL;{'U': 'Accès par utilisateur'};Validation client;U
BPSVAL;{'U': 'Accès par utilisateur'};Validation fournisseur;U
CPTACTSIM;{'U': 'Accès par utilisateur'};Activation simulations;U
CPTANA;{'U': 'Accès par utilisateur'};Modification analytique;U
CPTANUSIM;{'U': 'Accès par utilisateur'};Annulation simulations;U
CPTCLP;{'U': 'Accès par utilisateur'};Ecritures calculées;U
CPTDESSIM;{'U': 'Accès par utilisateur'};Désactivation simulations;U
CPTDSPANA;{'U': 'Accès par utilisateur'};Répartitions analytiques;U
CPTEXT;{'U': 'Accès par utilisateur'};Extournes;U
CPTLOT;{'U': 'Accès par utilisateur'};Validation des lots;U
CPTVAL;{'U': 'Accès par utilisateur'};Validation définitive;U
CPTVALSIM;{'U': 'Accès par utilisateur'};Validation simulations;U
EXSGEN;{'U': 'Accès par utilisateur'};Comptabilisation des frais;U
FRADSICTL;{'U': 'Accès par utilisateur'};Ctrl. signatures électroniques;U
FUNCFMINV;{'U': 'Accès par utilisateur'};Validation facture/avoir vente;U
FUNPIH;{'U': 'Accès par utilisateur'};Validation des factures;U
GENAVIDOM;{'U': 'Accès par utilisateur'};Génération domiciliations;U
GENBORREM;{'U': 'Accès par utilisateur'};Génération bordereau de remise;U
SOLABT;{'U': 'Accès par utilisateur'};Solde des abonnements;U
TRFSAC;{'U': 'Accès par utilisateur'};Transfert collectif;U
VALABT;{'U': 'Accès par utilisateur'};Génération abonnements;U
VALBIS;{'U': 'Accès par utilisateur'};Factures en attente;U
VATSAI;{'U': 'Accès par utilisateur'};TVA déclarée;U
GESCAZ;{'T': 'Transaction', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Codes interdiction;TCMS
GESGAS;{'T': 'Transaction', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Saisie pièces;TCMS
GESLOT;{'T': 'Transaction', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Saisie lots;TCMS
GEXPOBJ;{'T': 'Traitement'};Exports;T
GIMPOBJ;{'T': 'Traitement'};Imports;T
GESBPC;{'T': 'Tarif', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Clients;TCMS
GESBPS;{'T': 'Tarif', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Fournisseurs;TCMS
GESITM;{'T': 'Tarif', 'c': 'Coût', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Articles;TcCMS
GESPOD;{'T': 'Solde', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Demandes de livraisons;TCMS
GESPOH;{'T': 'Solde', 'L': 'Détail structure de coût', 'I': 'Emission', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Commandes;TLICMS
GESPSH;{'T': 'Solde', 'G': 'Génération', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Demandes d'achat;TGCMS
GESPTH;{'T': 'Solde', 'K': 'Modification mvts de stock', 'L': 'Détail structure de coût', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Réceptions;TKLCMS
GESPTH2;{'T': 'Solde', 'K': 'Modification mvts de stock', 'L': 'Détail structure de coût', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Réceptions;TKLCMS
LECTRACE;{'S': 'Suppression'};Lecture traces;S
GESSTQ;{'Q': 'Changement de statut', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Contrôle qualité;QCMS
GESSOH;{'P': 'Proforma', 'L': 'Livraison', 'F': 'Facture', 'A': 'Allocation', 'D': 'Solde', 'R': 'Préparation', 'I': 'Emission', 'B': 'Contremarque achat', 'G': 'Contremarque production', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des commandes;PLFADRIBGCMS
GESSQH;{'P': 'Proforma', 'O': 'Commande', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des devis;POCMS
GESANU;{'P': 'Annulation mot de passe', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Annuaire utilisateur;PCMS
CONSSTA;{'N': 'Tous niveaux'};Statistiques;N
GESPRH;{'L': 'Livraison', 'G': 'Colisage', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Bons de préparation;LGCMS
GESPRH2;{'L': 'Livraison', 'G': 'Colisage', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Bons de préparation;LGCMS
GESBBY;{'K': 'Modification mvts de stock', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Assemblage;KCMS
GESDBY;{'K': 'Modification mvts de stock', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Désassemblage;KCMS
GESITN;{'K': 'Modification mvts de stock', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Interventions;KCMS
GESMTK;{'K': 'Modification mvts de stock', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Suivi de fabrication;KCMS
GESSMO;{'K': 'Modification mvts de stock', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Sorties diverses;KCMS
GESSMR;{'K': 'Modification mvts de stock', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Entrées diverses;KCMS
GESSRH;{'K': 'Modification mvts de stock', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Retours client;KCMS
GESSRL;{'K': 'Modification mvts de stock', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Retours prêt;KCMS
GESSRS;{'K': 'Modification mvts de stock', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Retours matière sous-traitance;KCMS
PSADX;{'K': 'Arrêt processus', 'S': 'Suppression'};Surveillance utilisateurs;KS
PSIMP;{'K': 'Arrêt processus'};Surveillance impressions;K
GESSRE;{'G': 'Suivi des modifications', 'H': 'Couverture par défaut', 'K': 'Modification mvts de stock', 'F': 'Facture', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Demandes de service;GHKFCMS
SAIWRKPLN;{'G': 'Signature', 'A': 'Annulation', 'U': 'Tous utilisateurs'};Moniteur Workflow;GAU
GESMST;{'G': 'Génération secteurs', 'H': 'Consultation secteurs', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Secteurs de marché;GHCMS
PAYMEP;{'G': 'Génération', 'U': 'Accès par utilisateur'};Comptabilisation des effets;GU
REMBAN;{'G': 'Génération', 'U': 'Accès par utilisateur'};Comptabilisation en banque;GU
REMCPT;{'G': 'Génération', 'U': 'Accès par utilisateur'};Comptabilisation intermédiaire;GU
GESSPT;{'G': 'Affectation lead', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Secteurs lead;GCMS
GESFIFCV;{'F': 'Position finale', 'R': 'Annulation comptable', 'G': 'Validation', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Calcul taux FIFO;FRGCMS
GESCON;{'F': 'Facture', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Contrats de service;FCMS
MODECHE;{'E': 'Modification échéances', 'B': 'Modification relance', 'T': 'Modification tiers'};Gestion des échéances;EBT
MODECHE2;{'E': 'Modification échéances', 'B': 'Modification relance', 'T': 'Modification tiers'};Saisie des échéances;EBT
GESSIS;{'D': 'Suppression', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transferts inter-sites;DCMS
BPRICRE;{'C': 'Client', 'S': 'Fournisseur', 'U': 'Accès par utilisateur'};Création facture périodique;CSU
FASTRFM;{'A': 'Transfert analytique', 'G': 'Transfert géographique'};Trf massif ana / géo;AG
GESFAS;{'A': 'Transfert analytique', 'G': 'Transfert géographique', 'R': 'Modif. imputation comptable', 'T': 'Changement de méthode', 'U': 'Actualisation', 'V': 'Réévaluation', 'W': 'Eclatement', 'Z': 'Sortie', 'O': 'Modif information bien concess', 'P': 'Changer la règle de TVA', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Biens comptables;AGRTUVWZOPCMS
GESAFT;{'A': 'Modification codes accès', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Profil fonction;ACMS
GESAUS;{'A': 'Modification codes accès', 'P': 'Modification du mot de passe', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Utilisateurs;APCMS
GESPAY;{'A': 'Annulation comptable', 'V': 'Validation', 'T': 'Transactions', 'L': 'Lot de saisie', 'O': 'Annulation chèque', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Règlements;AVTLOCMS
GESMFG;{'A': 'Allocations manuelles', 'J': 'Jalonnement', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion ordres de fabrication;AJCMS
GESSCO;{'A': 'Allocations manuelles', 'O': 'Commander', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Ordres de sous-traitance;AOCMS
FUNDBENCH;{'A': 'Allocations', 'M': 'Allocations manuelles', 'J': 'Jalonnement', 'P': 'Planification multi-niveaux'};Plan de travail;AMJP
FUNMLINK;{'A': 'Allocations', 'M': 'Allocations manuelles', 'J': 'Jalonnement'};Plan d'affectation;AMJ
FUNDBENCHA;{'A': 'Allocation', 'M': 'Allocations manuelles', 'J': 'Jalonnement', 'P': 'Planification multi-niveaux'};Plan de travail;AMJP
FUNGBENCH;{'A': 'Allocation', 'M': 'Allocations manuelles', 'J': 'Jalonnement'};Planning global;AMJ
FUNGBENCHA;{'A': 'Allocation', 'M': 'Allocations manuelles', 'J': 'Jalonnement'};Planning global;AMJ
GESSOQ;{'A': 'Allocation', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion demandes de livraisons;ACMS
GESLOF;{'4': 'Eclatement', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Dépenses;4CMS
GESCYM;{'2': 'Duplication', '3': 'Génération auto', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Pyramides analytiques sections;23CMS
GESGYM;{'2': 'Duplication', '3': 'Génération auto', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Pyramides de comptes;23CMS
GESEXS;{'1': 'Tous utilisateurs', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Relevés de frais;1CMS
GESCRY;{'1': 'Changement pyramide', '2': 'Duplication', '3': 'Génération auto', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Groupes de sections;123CMS
GESGRY;{'1': 'Changement pyramide', '2': 'Duplication', '3': 'Génération auto', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Groupes de comptes;123CMS
GESGAC;{'1': 'Changement de plan', 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Comptes généraux;1CMS
GESCCE;"{'1': ""Changement d'axe"", 'C': 'Création', 'M': 'Modification', 'S': 'Suppression'}";Sections;1CMS
ABATPAR;{};Paramètres serveur batch;
ACHANGE;{};Changement de clé en masse;
ACOMPOBJ;{};Différence d'objets;
ACOPADO;{};Copie valeurs paramètres;
ACOPAPH;{};Copie paramétrage;
ACOPDIC;{};Copie dictionnaire;
ACOPELT;{};Copie élément client;
ACOPFIC;{};Copie fichiers;
ACOPPOS;{};Copie codes postaux;
ACOPTRS;{};Copie transactions;
ACTIVLNK;{};Activation des liaisons;
ADELETE;{};Suppressions;
ADIFSUB;{};Différence arguments sous-prog;
ADILNG;{};Perso tables diverses;
ADOSCOPDAT;{};Copie de données;
ADOTRT;{};Editeur scripts;
ADPVAL;{};Valeurs paramètres;
ADXD;{};Surveillance services;
AGDPRMAI;{};Liste des données Email;
AGDPRPDATA;{};Liste des données personnelles;
AGDPRPHONE;{};Liste des données téléphone;
AGDPRSEA;{};Recherche protection données;
AGENASWLNK;{};Synchronisation des liens;
AGENCLATECH;{};Validation classes systèmes;
AHISTO;{};Historisation / Epuration;
AICONE;{};Affichage icônes;
AIFIMPGENFIC;{};Conversion fichiers mono-ligne;
AIMP;{};Impressions;
AINITEXTRA;{};Init textes traduisibles;
AIOBENCH;{};Indice performance;
ALANG;{};Génération des libellés;
ALISTDPOCPY;{};Contrôle société pour DPD;
ALOGSUP;{};Trace pour le support;
AMAINTPORT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion du portail;CMS
AMIEXE;{};Transactions système;
AMIGSYR;{};Migration objet;
AMOULIN;{};Moniteur d'enchainement;
ANAMEMO;{};Analyse mémos;
ANURBK;{};Suppression relevé;
APARHIS;{};Paramètres épurations;
APATCH;{};Création de patchs;
APATCHA;{};Création automatique de patchs;
APRSMSK;{};Affectation style conditionnel;
APRTRAD;{};Traduction processus;
ARCHFLASH;{};Création archive flash;
ARCHGENTRT;{};Génération archive traitements;
ARCHTRT;{};Archive traitements;
ARCVISU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Visualisation archive;CMS
ARCVISUOBJ;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Interrogation GED;CMS
ARECAUO;{};MAJ des utilisateurs nommés;
ARECHMEN;{};Recherche menu;
ARECOPRO;{};Recodification processus;
ARECSRC;{};Recherche rapide traitements;
ARECTXTTRD;{};Recherche  message / texte;
ASEAAPL;{};Recherche  message / texte;
ASYNCBCOU;{};Synchronisation compteur batch;
ATSTREC;{};Récupération données stables;
ATSTSAV;{};Sauvegarde données stables;
AUSRSTA;{};Envoi statistiques licence;
AVALAFC;{};Resynch. profils fonction site;
AVERIFSRC;{};Vérification des sources;
AVOCAB;{};Personnalisation vocabulaire;
AYTCHGFCYW;{};Sélection site courant;
AYTFCYCOP;{};Duplication de site web;
AYTFCYDEL;{};Suppression site Web;
AYTFCYGEN;{};Validation site Web;
AYTFCYTAR;{};Gestion design/archive;
AYTWSRGES;{};Copie service web;
BADBTGEN;{};Gestion créances douteuses;
BALCONSO;{};Extraction pour consolidation;
BANREC;{};Pointage des relevés bancaires;
BIMAJBUD;{};Mise à jour budgets BI;
BNKTRSIMP;{};Import virements tréso Sage;
BOMPRN;{};Impression nomenclatures;
BOMRET;{};Analyse de faisabilité;
BPCREDIT;{};Blocage client;
BPCREDITD;{};Déblocage client;
BPOINET;{};Compensation tiers;
BPRMERGE;{};Fusions de tiers;
BPS1099CLC;{};Calculer règlements 1099;
BPS1099GEN;{};Génération 1099;
BPS1099SUM;{};Récapitulatif règlements 1099;
BSIIMPORT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Import transactions bancaires;CMS
BUDCOP;{};Copie de budgets;
BUDGET;{};Saisie budgets;
CALCSTBUD;{};Calcul coûts budget;
CALCSTCUT;{};Calcul coûts actualisés;
CALCSTSIM;{};Calcul coûts simulés;
CALCSTSTD;{};Calcul coûts standards;
CALCSTUPD;{};Mise à jour coûts calculés;
CALMFGCOST;{};Calcul du prix de revient;
CALSCOCOST;{};Calcul coût prévisionnel ss-trait;
CASNOMENP;{};Cas d'emploi composants;
CASNOMENS;{};Cas d'emploi services;
CCEUOM;{};Unités d'oeuvre sur sections;
CHDOS;{};Changement de dossier;
CHGDAT;{};Changement de date;
CHXPERSO;{};Personnalisation;
CMMREP;{};Report des engagements;
CMPGAU;{};Comparaison pièces auto;
CNVECAR;{};Ecarts de conversion;
CNVUTF8;{};Conversion UTF8;
CODACC;{};Affectation codes d'accès;
CODCTL;{};Affectation tables contrôle;
COMBOS;{};Menus locaux;
COMPCOUT;{};Comparaison des coûts;
COMPCOUTM;{};Impression comparatif coûts;
CONSALLA;{};Allocations;
CONSALLG;{};Allocations;
CONSALLS;{};Allocations;
CONSALO;{};Audit;
CONSAUD;{};Audit;
CONSAUH;{};Audit;
CONSAYU;{};Cas d'emploi;
CONSBAF;{};Consultation balance en devise;
CONSBAG;{};Situation client;
CONSBAGF;{};Situation fournisseur;
CONSBAH;{};Balance âgée client à date;
CONSBAHF;{};Balance âgée fourn à date;
CONSBAL;{};Balances;
CONSBAN;{};Banques;
CONSBDT;{};Créances douteuses;
CONSBPSI;{};Produits par fournisseur;
CONSBSE;{};Consultation bilan;
CONSBTR;{};Situation bancaire;
CONSCAA;{};Analyse compte contrepartie;
CONSCHQ;{};Consultation chèque;
CONSCOL;{};Contenu colis;
CONSCOL2;{};Contenu colis;
CONSCON;{};Contrats de service;
CONSCPD;{};Consultation demandes d'achat;
CONSCPI;{};Consultation factures;
CONSCPJ;{};Consultation lignes factures;
CONSCPN;{};Consultation retours;
CONSCPO;{};Consultation commandes;
CONSCPP;{};Consultation lignes commandes;
CONSCPQ;{};Consultation lignes retours;
CONSCPR;{};Consultation réceptions;
CONSCPS;{};Consultation lignes réceptions;
CONSCPT;{};Comptes;
CONSCSD;{};Liste livraisons;
CONSCSF;{};Lignes livraisons;
CONSCSG;{};Tournées;
CONSCSG2;{};Tournées;
CONSCSI;{};Liste factures;
CONSCSL;{};Lignes devis;
CONSCSN;{};Consultation de retours;
CONSCSO;{};Liste commandes;
CONSCSP;{};Lignes commandes;
CONSCSQ;{};Liste Devis;
CONSCSR;{};Ligne de retours;
CONSCSS;{};Echéances facturation;
CONSCST;{};Lignes factures de vente;
CONSDCL;{};Reporting déclarations TVA;
CONSDMWD;{};Résultats détaillés calcul;
CONSDMWDD;{};Résultats détaillés calcul;
CONSDMWG;{};Résultats groupés calcul;
CONSDMWGD;{};Résultats groupés calcul;
CONSDNO;{};Gestion factures d'agios;
CONSESL;{};Listing ventes intracom.;
CONSESR;{};Historique des e-Signatures;
CONSFAC;{};Factures;
CONSLLC;{};Consult codes plus bas niveau;
CONSLPN;{};Stock par numéro contenant;
CONSMFG;{};Liste des OF;
CONSMKI;{};Productions;
CONSMKM;{};Consommations;
CONSMKO;{};Temps passés;
CONSMWK;{};Consultation charge;
CONSNAT;{};Comptes analytiques;
CONSOPX;{};Encours charge;
CONSORD;{};Encours article;
CONSORD7;{};Encours article;
CONSPAY;{};Règlements;
CONSPCE;{};Ecritures;
CONSPIA;{};Traçabilité pièces achats;
CONSPIC;{};Traçabilité pièces CRM;
CONSPIF;{};Traçabilité immobilisations;
CONSPIH;{};Traçabilité pièces support clt;
CONSPIT;{};Traçabilité pièces tiers;
CONSPITV;{};Valorisation stock par période;
CONSPIV;{};Traçabilité pièces ventes;
CONSPRH;{};Bons de préparation;
CONSPRH2;{};Bons de préparation;
CONSSAD;{};Allocations détaillées;
CONSSAG;{};Allocations globales;
CONSSAR;{};Stocks par article;
CONSSAT;{};Mouvements en attente;
CONSSBI;{};Articles en inventaire;
CONSSBII;{};Articles en inventaire;
CONSSBP;{};Stock prêté;
CONSSCBCB;{};Résultats CBN;
CONSSCBCB1;{};Interrogation CBN GPAO;
CONSSCBPD;{};Résultats PDP;
CONSSCBPD1;{};Interro calculs PDP;
CONSSCI;{};Calcul comptages;
CONSSCM;{};Consommation sous-traitance;
CONSSDA;{};Stock à date;
CONSSDE;{};Stocks détaillés;
CONSSDI;{};Stock disponible;
CONSSDI1;{};Stock disponible vente;
CONSSDO;{};Stocks inactifs;
CONSSEA;{};Emplacements;
CONSSEC;{};Sections;
CONSSED;{};Emplacements dédiés;
CONSSET;{};Transaction carte crédit;
CONSSFC;{};Stock par site;
CONSSH3;{};Hist. fiche 130;
CONSSHIPD;{};Lignes d'expéditions;
CONSSHO;{};OF en rupture;
CONSSHQ;{};Hist. fiche technique;
CONSSHS;{};Historique stocks;
CONSSHTA;{};Allocations en rupture;
CONSSHTG;{};Allocations en rupture;
CONSSHTS;{};Allocations en rupture;
CONSSII;{};Articles à inventorier;
CONSSIM;{};Consultation de simulation;
CONSSLO;{};Stocks par lots;
CONSSMA;{};Evolution du PMP par mouvement;
CONSSMF;{};Mouvement prix FIFO;
CONSSMJ;{};Mouvements par date;
CONSSML;{};Mouvement prix moyen lot;
CONSSMQ;{};Stocks manquants;
CONSSMV;{};Mouvements par article;
CONSSOE;{};Occupation emplacements;
CONSSPE;{};Stock périmé;
CONSSPR;{};Stock projeté;
CONSSPR1;{};Stock projeté;
CONSSRF;{};Réponses contrôle qualité;
CONSSSC;{};Consultation sous-traitance;
CONSSSE;{};Numéros de série;
CONSSST;{};Sous-traitance;
CONSSTK;{};Traçabilité;
CONSSXT;{};Stocks externes;
CONSTRN;{};Consultation de transports;
CONSVCI;{};Incohérence code TVA;
COPRPT;{};Copie états;
COPTRT;{};Copie traitements;
COPYCOUT;{};Transfert de coûts;
COPYGAMME;{};Copie gammes;
COPYNOMEN;{};Copie nomenclatures;
COURDEV;{};Cours des devises;
CPTDUM;{};Validation code déversement;
CPTQUIT;{};Comptabilisation quittances;
CPTSVC;{};CCA/PCA d'arrêtés;
CREHISTO;{};Création dossier historisé;
CREITFMA;{};Création article-site;
CRELPNMA;{};Création numéros contenants;
DCLESD;{};Déclaration Européenne de Services;
DCLVATOTH;{};Déclaration préparatoire TVA;
DELETTRAGE;{};Délettrage;
DELQUIT;{};Annulation quittances;
DEPOINTAGE;{};Dépointage;
DEVERROU;{};Déverrouillage dossier;
DIVAVO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Motifs avoirs;CMS
DIVCCL;{};Motifs solde;
DIVRET;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Motifs retours;CMS
DIVTSC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Fam. stat. clients;CMS
DIVTSI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Fam. stat. articles;CMS
DIVTSS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Fam. stat. fournisseurs;CMS
DMWBAT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Calcul des déchets;CMS
DOSEXTRA;{};Extraction données;
DOSINTEG;{};Intégration données;
ECMLINK;{};Lien e-commerce;
EDITBLA;{};Balances analytiques;
ETAFIC;{};Etat des tables;
EVCBAT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Revalidation ID TVA intracom;CMS
EXEALH;{};Requêteur;
EXEALHGRP;{};Requêteur;
EXETRT;{};Exécution traitements;
EXPBAL;{};Export balance;
EXPCASDUD;{};Export échéancier tréso Sage;
EXPCASPAY;{};Export règlements tréso Sage;
EXPCONSO;{};Export balance conso Sage;
FAEINT;{};Lancement interface FEC;
FAS246G;{};Situation par code flux;
