CODINT_0;flags;Désignation;options_exist
FASCALC;{};Calcul amortissements;
FASCLOTURE;{};Clôture période et exercice;
FASCNXSYNC;{};Synchronisation contextes;
FASENTRY;{};Pièces immobilisations;
FASEXIT;{};Cessions et sorties immobilisations;
FASFLXM;{};Génération flux provisoires;
FASIMLM;{};Dépréciation - Tr massif;
FASISSM;{};Sortie d'actif - Tr massif;
FASLISTDEP;{};Liste immobilisations;
FASMTCM;{};Changer la méthode - Tr massif;
FASRVAM;{};Réévaluation - Trt massif;
FASSIMU;{};Simulation amortissements;
FASSPLM;{};Eclatement massif des biens;
FASTRFCM;{};Changer l'imputation comptable;
FASVATREG;{};Régularisation TVA - Biens;
FASVATRGG;{};Régularisation TVA globale;
FICMAG;{};Remises magnétiques;
FIYEND;{};Fin d'exercice;
FONADI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Tables diverses;CMS
FUNACHPPSI;{};Recherche tarifs;
FUNADCSEARCH;{};Paramétrage recherche stock;
FUNADRVAL;{};Validation adresse;
FUNANL;{};Analyse de production;
FUNAUTALL;{};Allocations automatiques;
FUNAUTDLV;{};Génération livraison commande;
FUNAUTDLV2;{};Livraisons des commandes;
FUNAUTFAE;{};Factures à émettre;
FUNAUTINVC;{};Génération factures contrats;
FUNAUTINVD;{};Génération factures livraisons;
FUNAUTINVO;{};Génération factures commandes;
FUNAUTINVS;{};Génération factures services;
FUNAUTINVSCH;{};Génération factures échéances;
FUNAUTINVT;{};Génération factures transferts;
FUNAUTPRE2;{};Génération listes préparation;
FUNAUTPREP;{};Génération listes préparation;
FUNBCH;{};Paramétrage inter-sociétés;
FUNBENCHI;{};Suivi de fabrication;
FUNBENCHM;{};Suivi des matières;
FUNBENCHO;{};Plan de suivi des temps;
FUNBENCHR;{};Suivi des réintégrations;
FUNBENCHT;{};Plan des fiches techniques;
FUNBENPLT;{};Pilotage des plans de suivi;
FUNBPCALL;{};Gestion réservations clients;
FUNBPCMVT;{};Resynchronisation en-cours client;
FUNBPSMVT;{};Resynchronisation en-cours;
FUNCALREO;{};Réappro zone consommation;
FUNCFMDLV;{};Validation des livraisons;
FUNCFMDLV2;{};Validation livraison;
FUNCFMTNH;{};Validation note de transport;
FUNCHGITG;{};Changement catégorie;
FUNCHGVAL;{};Changement de valeur;
FUNCLEAR;{};Solde des commandes;
FUNCON6;{};Historique des indices;
FUNCPTITH;{};Compléments ITMMVTHIS;
FUNCRM9;{};Identifier;
FUNCRMAGD;{};Agenda;
FUNCRMLCM;{};Resynchronisation en-cours client;
FUNCTLBPR;{};Contrôle des tiers inter-site;
FUNCUSSEA;{};Recherche Client;
FUNDEB;{};Génération fichier DEB;
FUNDESALL;{};Désallocations;
FUNEMIINS;{};Emission des acomptes;
FUNFOAROLL;{};Cumul allergènes alimentaires;
FUNGENBUD;{};Génération version de Budget;
FUNGENPIC;{};Génération version de PIC;
FUNGFSFDMAUP;{};Recalcul 1e date dispo mat. OF;
FUNGFSMOPT;{};Soumettre à l’ordonnancement;
FUNGLOAD;{};Charge graphique;
FUNGRHPI;{};Consultation factures/période;
FUNGRHPI2;{};Palmarès factures;
FUNGRHPN;{};Consultation retours/période;
FUNGRHPN2;{};Palmarès retours;
FUNGRHPO;{};Consultation commandes/période;
FUNGRHPR;{};Consultation réception/période;
FUNGRHSDH1;{};Livraisons par période;
FUNGRHSDH2;{};Palmarès motifs retours;
FUNGRHSIH1;{};Factures par période;
FUNGRHSIH2;{};Palmarès Devis;
FUNGRHSIH3;{};Factures par représentant;
FUNGRHSOH1;{};Commandes par période;
FUNGRHSOH2;{};Palmarès commandes;
FUNGRHSQH1;{};Devis par période;
FUNGRHSQH2;{};Palmarès Devis;
FUNGRHSQH3;{};Devis par représentant;
FUNHDKAGD;{};Agenda;
FUNIESGNR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Génération IES;CMS
FUNINTBPC;{};Migration en clients internes;
FUNIPTD;{};Modification date d'imputation;
FUNITC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Articles - Coûts;CMS
FUNLBEIMP;{};Impression;
FUNLOCS;{};Resynchronisation emplacements;
FUNLPNLBE;{};Impression étiquette contenant;
FUNMANALL;{};Allocations par article;
FUNMANL;{};Edition analyse produits;
FUNMAUTA;{};Allocation automatique;
FUNMAUTD;{};Déjalonnement;
FUNMAUTF;{};Contremarque;
FUNMAUTJ;{};Jalonnement automatique;
FUNMAUTM;{};Mise à niveau OF;
FUNMAUTMTO;{};Affectations;
FUNMAUTO;{};Décalage opérations;
FUNMAUTP;{};Décalage OF;
FUNMAUTR;{};Lancement automatique;
FUNMAUTRE;{};Réactivation OF;
FUNMAUTS;{};Suppression automatique;
FUNMAUTSU;{};Suspension OF;
FUNMCLOSE;{};Clôture/solde OF;
FUNMCOV;{};Historique PEC;
FUNMDESA;{};Désallocation;
FUNMDESMTO;{};Désaffectations;
FUNMGG;{};Ciblage marketing;
FUNMGG4;{};Exécution ciblages marketing;
FUNMGGGEN;{};Régénération ciblage;
FUNMIWL;{};Recalcul charges;
FUNMPICK;{};Regroupement;
FUNMPICKA;{};Plan de regroupement;
FUNMPS;{};Plan directeur production;
FUNMREACT;{};Réouverture OF;
FUNMRP;{};Calcul besoins nets;
FUNMRPG;{};Calcul besoins nets;
FUNMSITU;{};Situation OF;
FUNMST6;{};Affectation secteurs marché;
FUNMST7;{};Consultation des secteurs;
FUNMST8;{};Gestion des hors-secteurs;
FUNPBLGEN;{};Régénération stats/compétences;
FUNPITGEN;{};Régénération des points;
FUNPKD;{};Colisage déclaratif;
FUNPKD2;{};Colisage déclaratif;
FUNPKE;{};Impression étiquettes colisage;
FUNPKE2;{};Impression étiquettes colisage;
FUNPKP;{};Post-colisage;
FUNPKP2;{};Post-colisage;
FUNPLG;{};Planning marketing;
FUNPMCCL;{};Clôture période multi-soc.;
FUNPNH;{};Avoirs à recevoir;
FUNPNHTRT;{};Validation des retours;
FUNPNS;{};Gestion des acomptes;
FUNPOHW;{};Contremarques;
FUNPPCACT;{};Activation tarifs achats;
FUNPPD3;{};Génération lignes tarifs;
FUNPREDLV;{};Livraison des bons préparation;
FUNPREDLV2;{};Livraison des bons préparation;
FUNPREP;{};Plan préparation d'expéditions;
FUNPREP2;{};Plan préparation d'expéditions;
FUNPTH;{};Factures à recevoir;
FUNPURSUG;{};Purge des suggestions;
FUNPURSUGA;{};Purge des suggestions;
FUNPURWIP;{};Purger enreg. coûts en-cours;
FUNREJDRFMGT;{};Commandes brouillon rejetées;
FUNREL;{};Relance Appels d'offres;
FUNREO;{};Plan de réapprovisionnement;
FUNSAFTEXT;{};Extraction SAF-T;
FUNSCOMVT;{};Resynchro sous-traitance;
FUNSERMGT;{};Changement gestion no série;
FUNSFTEAC;{};Activité collaborateur;
FUNSFTPOR;{};Suivi atelier;
FUNSFTVAL;{};Validation saisie main oeuvre;
FUNSHTSEL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Régul. stocks manquants;CMS
FUNSMU;{};Modification caract. utilis.;
FUNSMXUPD;{};Changement en série lot;
FUNSNS;{};Gestion des acomptes;
FUNSPCACT;{};Activation tarifs ventes;
FUNSPCINC;{};Révision tarifs;
FUNSPT6;{};Affectation piste;
FUNSSL;{};Plan de rangement;
FUNSSTENT;{};Initialisation Sage Sales Tax;
FUNSTDTDU;{};Modif des opérations std;
FUNSTKA;{};Calcul classe ABC;
FUNSTKACC;{};Interface comptabilité;
FUNSTKADJ;{};Régularisation de prix;
FUNSTKB;{};Réapprovisionnements hors MRP;
FUNSTKTRS;{};Validation transactions Stock;
FUNSTOLTI;{};Changt statut lots re-contrôle;
FUNSTOP;{};Changt statut lots périmés;
FUNSTOR;{};Traitements divers stocks;
FUNSTORUL;{};Règles de gestion de stock;
FUNSTOWIPW;{};Resynchronisation qtés en saisie;
FUNSTPE;{};Purge numéros séries;
FUNSTPI;{};Purge sessions inventaires;
FUNSTPL;{};Purge lots nuls;
FUNSTPQ;{};Purge analyses qualité;
FUNSTPT;{};Purge traçabilité;
FUNSTPU;{};Purge mouvements stocks;
FUNSTVA;{};Etat valorisé des stocks;
FUNSYD;{};Données synchronisation;
FUNSYD6;{};Forçage synchronisation;
FUNSYL;{};Gestion des anomalies;
FUNSYNCO;{};Resynchronisation charge;
FUNSYNCW;{};Resynchronisation encours;
FUNSYNPIT;{};Resynchro valo. stock période;
FUNSYNREO;{};Resynchro réappro zone conso;
FUNSYNSER;{};Resynchronisation des séries;
FUNSYNSRG;{};Resynchro plan de rangement;
FUNTDUCAP;{};P. charge/Variation capacité;
FUNTDUCLO;{};Clôture/solde en série;
FUNTDUMRP;{};Replanification en série;
FUNTDUOF;{};Modification des objectifs;
FUNTDUPDR5;{};Modification des opérations;
FUNTDUPDW;{};Modification des postes;
FUNTDUVAR;{};Variation de capacité;
FUNTDUWST;{};Remplacement postes;
FUNTEOALL;{};Allocations automatiques;
FUNTEOCLO;{};Clôture/solde en série;
FUNTEODESA;{};Désallocations automatiques;
FUNTLPATT;{};Attributs lignes de produits;
FUNTRAAXP;{};Textes à traduire;
FUNTRAAXS;{};Textes à traduire;
FUNTRATXI;{};Traduction désignations;
FUNTRTCFO;{};Génération de prévisions;
FUNUOT1;{};Paramétrage unités de temps;
FUNUTICMM;{};Resynchronisation engagements;
FUNUTIPOC;{};Contrôle contrats inter-sites;
FUNVENSPSI;{};Recherche tarifs;
FUNWANL;{};Edition analyse ressources;
FUNWIPACC;{};Comptabilisation en-cours OF;
FUNWIPBOM;{};Coût en-cours sans OF;
FUNWIPMFC;{};Calcul prix de revient de fab;
FUNWIPSCO;{};Calcul prix revient ss-trait;
FUNYEC;{};Echéance;
FXDINT;{};Intégration des mouvements;
GACCDEL;{};Suppression comptes en masse;
GACCDUP;{};Duplication comptes en masse;
GACMERGE;{};Fusions de comptes;
GENFIC;{};Génération de fichier;
GENMENULOC;{};Mise à jour menus locaux;
GENMSKTRT;{};Génération transactions;
GENQUIT;{};Génération quittances;
GENTXTTRA;{};Maj textes traduisibles;
GESAAB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Table des abréviations;CMS
GESAAR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramètres des actions;CMS
GESABC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Calendrier serveur batch;CMS
GESABG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Groupes de tâches;CMS
GESABH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Contraintes horaires;CMS
GESABN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Banques (guichets);CMS
GESABT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des tâches;CMS
GESACG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage changement de clé;CMS
GESACL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Tables de contrôles;CMS
GESACLA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Classes;CMS
GESACM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Compteurs;CMS
GESACN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Consultations;CMS
GESACO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Codification des rubriques;CMS
GESACS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Codes d'accès;CMS
GESACST;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Constante;CMS
GESACT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Dictionnaire des actions;CMS
GESACTX;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Contexte;CMS
GESACV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Codes activité;CMS
GESADC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Dictionnaire scripts;CMS
GESADF;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Liens de documentation;CMS
GESADG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Jeux de valeurs;CMS
GESADI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Tables diverses;CMS
GESADI2;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Tables diverses - Données;CMS
GESADLK;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Kits de paramétrage;CMS
GESADLV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Livrable;CMS
GESADM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Eléments de dimensionnement;CMS
GESADO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Documentation;CMS
GESADP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Définition paramètres;CMS
GESADS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Dossiers;CMS
GESADV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Définition tables diverses;CMS
GESADZ;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Documentation sur champs;CMS
GESAEN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Enchaînements import/export;CMS
GESAEV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage tableau/import;CMS
GESAFC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Dictionnaire des fonctions;CMS
GESAFO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Formules de dimensionnement;CMS
GESAFP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Habilitation fonctionnelle;CMS
GESAGB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Variables globales;CMS
GESAGF;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Groupes de sites;CMS
GESAGS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage protection données;CMS
GESAHI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Historisation / Epuration;CMS
GESAIA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Destinations par utilisateur;CMS
GESAIM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Destinations;CMS
GESAIN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Interlocuteurs;CMS
GESAIT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Composants interactifs;CMS
GESALB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Liens subdivisions;CMS
GESALH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Requêteur;CMS
GESALQ;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Requêteur SQL;CMS
GESALT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Requêteur graphique;CMS
GESAM3;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Procédures de migration;CMS
GESAMC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Mot-clé d'aide;CMS
GESAME;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Profil métier;CMS
GESAMI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transactions système;CMS
GESAMK;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Dictionnaire des écrans;CMS
GESAMM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Mémos;CMS
GESANG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Navigation;CMS
GESANM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Compteurs document;CMS
GESANX;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Index spécifiques;CMS
GESAOB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Objets de base;CMS
GESAOC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Personnalisation objets;CMS
GESAOE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Modèles import/export;CMS
GESAOP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Propriétés objets;CMS
GESAOR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transcodage Import/Export;CMS
GESAOW;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Sas import/export;CMS
GESAPB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Pool Java Bridge;CMS
GESAPE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Points d'entrée;CMS
GESAPH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Modèle de paramétrage;CMS
GESAPN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Profil menu utilisateur;CMS
GESAPO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Menu processus;CMS
GESAPP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramètres portail;CMS
GESAPR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Processus;CMS
GESAPT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Consultation de patchs;CMS
GESAPV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Vues du portail;CMS
GESAPW;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Pool de services web;CMS
GESARC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Règles d'archivage;CMS
GESARE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramètres d'archivage;CMS
GESARL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Restrictions d'accès;CMS
GESARP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Dictionnaire des états;CMS
GESARV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Valeurs par défaut;CMS
GESARX;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Code impression;CMS
GESARZ;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Etats ZPL;CMS
GESASB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Composants graphiques;CMS
GESASL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Styles conditionnels;CMS
GESASU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Sous-programmes;CMS
GESASW;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Représentations;CMS
GESASY;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Styles de présentation;CMS
GESATB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Dictionnaire des tables;CMS
GESATN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types de transactions;CMS
GESATP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Familles gadgets;CMS
GESATU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Subdivisions géographiques;CMS
GESATY;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types de données;CMS
GESATYP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Content type;CMS
GESAUPD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Mise à jour;CMS
GESAUR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Composants écran;CMS
GESAUTI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Utilitaires;CMS
GESAVR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Contexte assistant de formules;CMS
GESAVW;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Dictionnaire des vues;CMS
GESAWA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Règles Workflow;CMS
GESAWE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Services web;CMS
GESAWI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des fenêtres;CMS
GESAWM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Modèles de données;CMS
GESAWR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Règles d'affectation;CMS
GESAWV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Affectation utilisateur;CMS
GESAWW;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage plan de travail;CMS
GESAWX;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Notifications;CMS
GESAYA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Action Web;CMS
GESAYB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Blocs;CMS
GESAYC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Liste de valeurs;CMS
GESAYD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Profils site Web;CMS
GESAYE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Entité;CMS
GESAYF;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Champs;CMS
GESAYG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Pages Web;CMS
GESAYH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Profil Safe X3 WAS;CMS
GESAYI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Interface;CMS
GESAYL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Liens dynamiques;CMS
GESAYM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Message Web;CMS
GESAYP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Styles personnalisés;CMS
GESAYS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Sites Web;CMS
GESAYT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Test site Web;CMS
GESAYU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage avancé;CMS
GESAYW;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Blocs conditionnés;CMS
GESAYY;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Document Html;CMS
GESAYZ;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Formulaire;CMS
GESB9B;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Balance d'ouverture 1099;CMS
GESB9M;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Case fournisseur 1099;CMS
GESBAN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Comptes en banque;CMS
GESBAP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Rendez-vous;CMS
GESBCG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Catégorie client;CMS
GESBDO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};OD budgétaires;CMS
GESBDT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Conditions créances douteuses;CMS
GESBGR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Groupe bancaire;CMS
GESBODC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Nomenclatures commerciales;CMS
GESBODP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Nomenclatures production;CMS
GESBODS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Nomenclatures sous-traitance;CMS
GESBOLP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Bon de transport;CMS
GESBOLS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Bon de transport;CMS
GESBPP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Prospects;CMS
GESBPT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transporteurs;CMS
GESBRD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Eclatement - Clés ventilation;CMS
GESBSG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Catégorie fournisseur;CMS
GESBTC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Tâches comptables;CMS
GESBUC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Calcul budgets;CMS
GESBUP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage budgets;CMS
GESBUV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Versions de budgets;CMS
GESBX9;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Case 1099;CMS
GESCAC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Codes comptables;CMS
GESCAI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Caisses;CMS
GESCBA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Agenda action commerciale;CMS
GESCCC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Articles concurrents;CMS
GESCCL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Lignes des codes comptables;CMS
GESCDA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Destinations comptables;CMS
